日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2021-04-23,'000717,韶钢松山,5.39,5.44,5.21,5.29,5.28,0.11,2.0833,2.9251,70774598,378556443.38,13041236569.9,13041236569.9,34783
2021-04-22,'000717,韶钢松山,5.28,5.37,5.16,5.17,5.17,0.11,2.1277,2.7569,66704313,352996121.43,12775088884.8,12775088884.8,41058
2021-04-21,'000717,韶钢松山,5.17,5.22,5.02,5.2,5.22,-0.05,-0.9579,2.0361,49264546,252127878.31,12508941199.7,12508941199.7,35227
2021-04-20,'000717,韶钢松山,5.22,5.32,5.2,5.25,5.26,-0.04,-0.7605,1.7995,43539259,228373852.63,12629917420.2,12629917420.2,26631
2021-04-19,'000717,韶钢松山,5.26,5.39,5.24,5.32,5.33,-0.07,-1.3133,2.0388,49329982,261663901.02,12726698396.6,12726698396.6,29152
2021-04-16,'000717,韶钢松山,5.33,5.43,5.32,5.34,5.34,-0.01,-0.1873,2.0609,49863616,267625741.56,12896065105.3,12896065105.3,26731
2021-04-15,'000717,韶钢松山,5.34,5.43,5.26,5.37,5.46,-0.12,-2.1978,2.6466,64034206,341155843.47,12920260349.4,12920260349.4,38583
2021-04-14,'000717,韶钢松山,5.46,5.55,5.32,5.34,5.41,0.05,0.9242,3.3329,80640312,438418826.07,13210603278.6,13210603278.6,40998
2021-04-13,'000717,韶钢松山,5.41,5.54,5.25,5.5,5.55,-0.14,-2.5225,3.2627,78942770,424888562.37,13089627058.1,13089627058.1,47589
2021-04-12,'000717,韶钢松山,5.55,5.7,5.3,5.35,5.43,0.12,2.2099,5.5059,133215830,738554033.69,13428360475.5,13428360475.5,53697
2021-04-09,'000717,韶钢松山,5.43,5.53,5.24,5.42,5.3,0.13,2.4528,5.1964,125728917,681485124.14,13138017546.3,13138017546.3,49533
2021-04-08,'000717,韶钢松山,5.3,5.62,5.19,5.29,5.29,0.01,0.189,6.7843,164147644,882778747.99,12823479373.0,12823479373.0,60921
2021-04-07,'000717,韶钢松山,5.29,5.33,4.98,5.06,5.04,0.25,4.9603,3.6386,88037616,457593236.09,12799284128.9,12799284128.9,43970
2021-04-06,'000717,韶钢松山,5.04,5.18,5.03,5.04,5.0,0.04,0.8,1.8576,44944858,228796881.95,12194403026.4,12194403026.4,20118
